bin,n_a,mean_mm_a,std_mm_a,median_q_a,sqrt_n_bound_a,n_b,mean_mm_b,std_mm_b,median_q_b,sqrt_n_bound_b,delta_mean_mm,delta_median_q
45.0,703,3524.4505689900425,20.930511635877636,15.0,0.7894091974351304,703,3523.968705547653,20.44995756172641,15.0,0.7712847572590174,0.48186344238956735,0.0
46.0,813,3594.6162361623615,27.24718407926904,15.0,0.9556004663192071,788,3594.0171319796955,26.727203677425397,15.0,0.9521172082212849,0.5991041826659966,0.0
47.0,857,3675.5262543757294,32.189508657523604,15.0,1.0995726695209875,861,3674.2932636469222,32.69993645412276,15.0,1.1144108530885772,1.2329907288071809,0.0
48.0,849,3765.9175500588926,32.53412084969269,15.0,1.1165681369936016,861,3764.612950058072,33.35687846339831,15.0,1.1367993768709892,1.3046000008207557,0.0
49.0,711,3856.54711673699,27.003088545032384,15.0,1.0126949403216683,703,3856.8620199146517,26.77892679198803,15.0,1.0099863526891268,-0.31490317766156295,0.0
50.0,630,3937.1579365079365,25.23781279079803,17.0,1.0054985294862435,633,3936.8649289099526,25.591258317044208,18.0,1.0171612001976358,0.29300759798388754,-1.0
51.0,685,4008.9372262773722,19.38203468707568,42.0,0.7405494789809695,680,4008.8139705882354,19.206251754306336,41.0,0.7365261331270674,0.12325568913684037,1.0
52.0,706,4087.6497875354107,31.3828785698616,18.0,1.1811102157835043,706,4087.735835694051,31.585679005473267,18.0,1.1887427108630448,-0.08604815864009652,0.0
53.0,708,4204.878884180791,32.685312218503896,14.0,1.2283892551535391,711,4187.768635724332,274.7585263529214,14.0,10.304249789197867,17.110248456458976,0.0
54.0,711,4311.220464135021,31.05725357534758,14.0,1.1647380077871687,697,4311.432568149211,30.96682226948449,14.0,1.1729520334169872,-0.2121040141901176,0.0
55.0,706,4419.981586402267,29.198465193881844,13.0,1.0988987338724236,711,4419.804149085795,29.958669658221016,13.0,1.1235378920101349,0.17743731647169625,0.0
56.0,712,4195.9645365168535,1179.174434032085,4.0,44.19143025804038,699,4248.7532188841205,1089.1984378459688,5.0,41.1972684936659,-52.78868236726703,-1.0
57.0,711,4622.720464135021,462.2718563754737,10.0,17.336549084888603,715,4603.318181818182,549.4263488714612,10.0,20.547380444348363,19.402282316838864,0.0
58.0,703,2981.2439544807967,2306.8227035533864,2.0,87.00346607465332,706,2940.5764872521245,2315.971832835822,2.0,87.16274975031072,40.667467228672194,0.0
59.0,712,4850.856390449439,713.1845447013537,8.0,26.727720817787503,697,4848.790889526543,720.6695542642689,8.0,27.29730586302293,2.065500922895808,0.0
60.0,713,2485.994039270687,2533.5309817140615,0.0,94.88148091795972,717,2485.4850069735007,2532.746899490816,0.0,94.58716624344031,0.5090322971864225,0.0
61.0,704,1517.4825994318182,2402.4445741869517,0.0,90.54553672958258,699,1346.505007153076,2314.1921024429394,0.0,87.53078417814021,170.97759227874235,0.0
62.0,701,4146.857346647646,2330.3914459989846,5.0,88.01767015229062,708,4330.785310734464,2209.556893189077,5.0,83.04023312059203,-183.92796408681716,0.0
63.0,716,3794.1274441340784,2645.8519397954224,3.0,98.88012950144405,710,3650.385563380282,2693.37266153801,3.0,101.0804748000488,143.74188075379652,0.0
64.0,681,1377.6193098384729,2351.972750151197,0.0,90.12779161567224,663,1292.9660633484164,2292.0186743660347,0.0,89.01462929609897,84.65324649005652,0.0
65.0,677,4698.641432791728,258.4902378477548,3.0,9.934586873172126,698,4678.568051575931,399.4120362961482,3.0,15.117968527694089,20.07338121579687,0.0
66.0,695,4787.417266187051,408.8354527229487,3.0,15.508012661047859,683,4786.465959004392,412.3268038534746,3.0,15.77724667687026,0.9513071826586383,0.0
67.0,702,1743.5929487179487,2711.3401269913325,0.0,102.33293858489925,697,1721.3224533715925,2700.44995501524,0.0,102.28683583711695,22.270495346356256,0.0
68.0,718,5997.730501392758,6.004005754819362,13.0,0.2240675047007463,729,5997.346364883402,6.020659585975084,13.0,0.22298739207315124,0.38413650935581245,0.0
69.0,711,5977.804149085795,552.6014978025356,11.0,20.724175307041055,695,6021.155755395684,230.58241617969443,11.0,8.746489585757462,-43.351606309888666,0.0
70.0,703,858.5256045519203,2134.7165740981904,0.0,80.51236046335964,706,845.8958923512748,2121.1079068782437,0.0,79.82894915187852,12.629712200645486,0.0
71.0,710,18.77323943661972,353.5727063310599,0.0,13.269347217578636,699,0.0,0.0,0.0,0.0,18.77323943661972,0.0
