bin,n_a,mean_mm_a,std_mm_a,median_q_a,sqrt_n_bound_a,n_b,mean_mm_b,std_mm_b,median_q_b,sqrt_n_bound_b,delta_mean_mm,delta_median_q
143.0,696,4627.203304597701,6.280763986822488,14.0,0.23807174452954807,689,4627.052612481858,6.216498034760513,14.0,0.23682971357292226,0.15069211584341247,0.0
144.0,719,4604.111265646731,6.508682731772294,14.0,0.24273290695911373,713,4603.92636746143,6.494367080825605,14.0,0.24321595855784378,0.18489818530088087,0.0
145.0,700,4585.789642857143,4.545405548827483,14.0,0.17180018128757968,696,4585.795977011494,4.550243686356403,14.0,0.1724765418217023,-0.0063341543509523035,0.0
146.0,705,4568.230496453901,5.258336093744436,14.0,0.19804039445668903,703,4568.309743954481,5.20929351886485,14.0,0.1964722261677621,-0.07924750058009522,0.0
147.0,701,4551.711126961483,4.732109648787074,14.0,0.178729314728009,721,4551.52080443828,4.881770644935911,14.0,0.18180663940795105,0.19032252320357657,0.0
148.0,694,4536.640129682997,3.9991990338630363,14.0,0.151807519341447,695,4536.280575539568,3.960933645683857,14.0,0.15024677707796974,0.3595541434287952,0.0
149.0,718,4524.651114206128,3.30223902500894,14.0,0.12323846586343588,704,4524.476917613636,3.2730064157392347,14.0,0.12335607065264793,0.17419659249208053,0.0
150.0,701,4513.979315263909,3.102924903867086,14.0,0.11719585615747245,688,4514.046875,3.0385504140948267,14.0,0.11584364850825125,-0.0675597360914253,0.0
151.0,714,4504.223039215686,2.7397119823085943,15.0,0.10253114404222184,715,4504.3248251748255,2.7607687936765584,15.0,0.1032468989502871,-0.10178595913930621,0.0
152.0,690,4497.021014492753,1.6362614871595287,15.0,0.06229141023391369,705,4497.075886524823,1.6420391939224832,15.0,0.061842773812920346,-0.05487203206939739,0.0
153.0,714,4497.452030812325,1.8717822526388221,19.0,0.07004969025951015,714,4497.5252100840335,1.8945449180967409,19.0,0.0709015616043528,-0.07317927170879557,0.0
154.0,675,4497.781481481482,2.796449773036157,18.0,0.10763540194917953,675,4497.767777777778,2.8932956542373716,18.0,0.11136300165460805,0.013703703703868086,0.0
155.0,695,4484.005035971223,3.4776939206764124,36.0,0.1319164495003974,681,4484.073788546256,3.601976505122813,35.0,0.13802803958395643,-0.06875257503270404,1.0
156.0,685,4490.000364963504,5.266465048433755,34.0,0.20122128613719545,695,4489.5723021582735,5.3189589830729656,35.0,0.2017596142988792,0.4280628052301836,-1.0
157.0,694,4493.893011527378,3.6540749172108917,16.0,0.13870678702724115,705,4493.813475177305,3.5700870138792866,16.0,0.13445725565440042,0.0795363500728854,0.0
158.0,715,4482.407342657342,1.5457196483065523,15.0,0.05780663730324568,708,4482.344279661017,1.4722296557612886,15.0,0.05532977865304723,0.06306299632524315,0.0
159.0,702,4482.34650997151,1.0424471575192484,15.0,0.03934463252561196,709,4482.456276445698,1.0163873167777668,15.0,0.03817122690929943,-0.10976647418738139,0.0
