bin,n,mean_mm,std_mm,median_q,sqrt_n_bound
178.0,139,6229.955035971223,2.0651200526917486,20.0,0.17516119671532596
179.0,140,6237.607142857143,2.897087171654316,19.0,0.24484855494430494
180.0,141,6247.515957446809,3.1129356789104223,18.0,0.2621564762150921
181.0,138,6258.873188405797,3.7644183128761703,17.0,0.32044856733436705
182.0,142,6273.144366197183,4.539359386300806,16.0,0.3809345775592735
183.0,140,6289.092857142857,5.042387136763599,16.0,0.42615949426240984
184.0,136,6307.369485294118,5.953909928510696,15.0,0.5105435644027602
185.0,137,6327.974452554745,6.420632862305111,15.0,0.5485516853298257
186.0,144,6351.121527777777,7.125436197610358,14.0,0.5937863498008632
187.0,137,6376.113138686132,7.93644161557232,14.0,0.6780559669286192
188.0,143,6403.81993006993,8.571386521239265,14.0,0.7167753493068809
189.0,137,6432.706204379562,8.681237046861412,14.0,0.7416881349440486
190.0,135,6462.529629629629,9.043739684098613,14.0,0.7783611818655345
191.0,144,6495.725694444444,10.604348273777928,14.0,0.883695689481494
192.0,134,6531.358208955224,10.789747629620232,13.0,0.9320922297220242
193.0,142,6569.383802816901,12.06078215900965,13.0,1.0121183554318192
194.0,139,6610.005395683454,12.115666422015346,13.0,1.027637413484876
195.0,145,6653.813793103448,13.686652666262043,12.0,1.136614638261201
196.0,138,5433.739130434783,2627.5973590464446,11.0,223.67594120927265
197.0,139,274.41906474820144,345.5520685505352,0.0,29.30934391725784
198.0,135,697.1259259259259,2.196476587049617,25.0,0.18904260537728163
199.0,138,693.3188405797101,1.1187552209811944,30.0,0.09523476881806887
200.0,149,682.8288590604027,56.44826236200245,32.0,4.624421838478594
201.0,135,677.6574074074074,2.03186847432597,33.0,0.1748753947277412
202.0,141,679.0673758865248,1.4632032596767923,40.0,0.12322394360476033
203.0,138,681.2644927536232,1.5053942289708875,45.0,0.1281476668777999
204.0,138,672.2192028985507,3.7337791390576207,33.0,0.31784038765335776
205.0,139,664.273381294964,1.5925244538685381,35.0,0.13507616120159358
206.0,139,660.115107913669,1.2576815378262496,35.0,0.10667515574471066
207.0,146,657.7465753424658,0.8600252108222376,37.0,0.07117619288229768
208.0,132,657.0757575757576,0.7063908063644576,40.0,0.061483427880290015
209.0,131,657.5286259541984,0.7848574229745264,43.0,0.06857331143533718
210.0,140,633.6107142857143,109.1243938705532,42.0,9.22269457743685
211.0,133,633.9774436090225,55.45198628371483,37.0,4.808297013652388
212.0,146,636.9691780821918,0.7806332591617338,39.0,0.06460566821211093
213.0,138,638.4565217391304,1.203671786492059,46.0,0.10246334691414154
214.0,137,611.1131386861314,131.29130992339034,47.0,11.21697360247131
215.0,143,460.73426573426576,273.18244306300596,35.0,22.844663528565572
216.0,136,616.6856617647059,1.0924811734666675,40.0,0.09367948777218062
217.0,142,619.3010563380282,0.8020025536706917,40.0,0.06730255923467844
218.0,139,614.9874100719425,1.9660441184139357,34.0,0.16675768565011181
219.0,132,611.189393939394,1.011442743698242,33.0,0.08803479097819482
220.0,147,609.7670068027211,1.025221269111379,33.0,0.08455882510005491
221.0,136,608.7830882352941,1.2460340133909846,35.0,0.10684653516799789
222.0,141,603.072695035461,2.9286971455952795,30.0,0.24664079273850953
223.0,136,595.4136029411765,1.8056953817149686,31.0,0.15483710158123976
