bin,n,mean_mm,std_mm,median_q,sqrt_n_bound
152.0,137,581.5583941605839,2.020179168516206,9.0,0.17259555425816994
153.0,143,447.8286713286713,246.15578096634616,5.0,20.58458050501625
154.0,140,3131.0375,3010.3823072367272,7.5,254.42374153205685
155.0,135,6043.688888888889,15.497847306780328,12.0,1.333842322693904
156.0,141,6098.452127659574,16.312980011920022,12.0,1.3738007455358172
157.0,142,6154.737676056338,16.99648815063275,12.0,1.4263136012521573
158.0,138,6213.097826086957,17.041074112814524,12.0,1.4506325629677213
159.0,141,6273.446808510638,18.153113873742694,12.0,1.5287679722111687
160.0,132,6336.0,17.043808618197442,12.0,1.483473126406666
161.0,147,6368.397959183673,3.5459019253324815,15.0,0.2924610615872458
162.0,143,6352.342657342658,7.0641351604323575,15.0,0.5907326585521717
163.0,132,6330.344696969697,5.829604158113637,16.0,0.5074019134970056
164.0,141,6310.175531914893,5.83223375799558,16.0,0.4911626863404981
165.0,139,6291.507194244605,4.9662759833858985,17.0,0.42123403108434304
166.0,147,6275.360544217687,4.896456054492845,17.0,0.4038528887338024
167.0,133,6260.817669172932,3.931121916970719,17.0,0.340871500562008
168.0,139,6249.294964028777,3.129055600012977,19.0,0.26540303202841264
169.0,143,6239.867132867133,2.6350502099546964,20.0,0.22035396840421217
170.0,136,6232.433823529412,2.06025782594511,21.0,0.1766656510891838
171.0,143,6226.0,1.8613942979374727,22.0,0.15565761091229696
172.0,137,6220.912408759124,1.6158086327191756,22.0,0.13804784787684768
173.0,147,6216.360544217687,1.318704107719503,23.0,0.10876488165333147
174.0,141,6214.932624113475,0.8392595762169204,24.0,0.07067840643845522
175.0,140,6217.042857142857,1.1168038193043108,22.0,0.09438714995820957
176.0,142,6219.727112676056,1.3022433349900715,21.0,0.10928183306897786
177.0,134,6224.119402985075,1.7735304246641848,21.0,0.15320969356752903
178.0,147,6229.826530612245,2.1922989912891264,20.0,0.18081777325213175
179.0,134,6237.819029850746,2.8193397268408718,19.0,0.24355385710050056
180.0,143,6247.566433566433,3.2008679293025324,18.0,0.2676700230967184
181.0,137,6258.704379562044,3.9486849749433954,17.0,0.3373589246254006
182.0,139,6272.839928057554,4.488310823991219,16.0,0.38069355538721406
183.0,146,6288.82705479452,5.315443105129925,16.0,0.43990920143363815
184.0,133,6307.4266917293235,5.630576524898183,15.0,0.4882329038907689
185.0,147,6328.615646258503,6.867400663570688,15.0,0.5664136602493645
186.0,138,6351.545289855072,6.722146879866202,14.0,0.5722271432205649
